[multivariate-tuning] Using device: cuda
[multivariate-tuning] Learning rate: 0.0001
[multivariate-tuning] Coefficient type: fourier
[multivariate-tuning] Scheduler: cosine-warm-restarts
[multivariate-tuning] Fourier M: 7, alpha: 1.0, beta: 1.0
Saved interpolant trajectories to results_coefficient_tuning/fourier_M7/multivariate_trajectories.png
Epoch 1/250 | v_loss=-276.6781 | grad_v=751.8240 | E[|v|^2]=470.3511 | time=7.8s
Epoch 2/250 | v_loss=-293.1598 | grad_v=1496.6634 | E[|v|^2]=582.8186 | time=7.6s
Epoch 3/250 | v_loss=-362.3015 | grad_v=2528.3830 | E[|v|^2]=595.8233 | time=7.5s
Epoch 4/250 | v_loss=-284.4295 | grad_v=1360.8144 | E[|v|^2]=602.9132 | time=7.5s
Epoch 5/250 | v_loss=-299.2327 | grad_v=1218.2320 | E[|v|^2]=552.2579 | time=7.5s
Epoch 6/250 | v_loss=-287.8382 | grad_v=543.4757 | E[|v|^2]=607.8297 | time=7.5s
Epoch 7/250 | v_loss=-271.1331 | grad_v=805.7870 | E[|v|^2]=607.0692 | time=7.5s
Epoch 8/250 | v_loss=-252.1826 | grad_v=2476.1487 | E[|v|^2]=536.4527 | time=7.5s
Epoch 9/250 | v_loss=-317.2815 | grad_v=1332.5945 | E[|v|^2]=597.5041 | time=7.5s
Epoch 10/250 | v_loss=-297.4431 | grad_v=2252.4722 | E[|v|^2]=605.4935 | time=7.5s
Epoch 11/250 | v_loss=-268.3121 | grad_v=1677.9231 | E[|v|^2]=599.7983 | time=7.6s
Epoch 12/250 | v_loss=-227.2162 | grad_v=1223.8727 | E[|v|^2]=613.0851 | time=7.6s
Epoch 13/250 | v_loss=-262.2994 | grad_v=434.9098 | E[|v|^2]=605.6955 | time=7.6s
Epoch 14/250 | v_loss=-330.2021 | grad_v=2217.7873 | E[|v|^2]=618.1301 | time=7.6s
Epoch 15/250 | v_loss=-301.6709 | grad_v=680.9868 | E[|v|^2]=592.2256 | time=7.6s
Epoch 16/250 | v_loss=-274.6128 | grad_v=535.8986 | E[|v|^2]=592.0127 | time=7.6s
Epoch 17/250 | v_loss=-255.5806 | grad_v=472.9823 | E[|v|^2]=579.6172 | time=7.6s
Epoch 18/250 | v_loss=-316.4390 | grad_v=1357.5262 | E[|v|^2]=628.7534 | time=7.5s
Epoch 19/250 | v_loss=-278.9635 | grad_v=753.4183 | E[|v|^2]=591.2613 | time=7.6s
Epoch 20/250 | v_loss=-302.8173 | grad_v=452.9177 | E[|v|^2]=580.2338 | time=7.6s
Epoch 21/250 | v_loss=-302.1310 | grad_v=571.4822 | E[|v|^2]=617.3155 | time=7.5s
Epoch 22/250 | v_loss=-322.2658 | grad_v=850.7183 | E[|v|^2]=648.3780 | time=7.5s
Epoch 23/250 | v_loss=-344.6786 | grad_v=309.3327 | E[|v|^2]=618.2393 | time=7.5s
Epoch 24/250 | v_loss=-327.9918 | grad_v=1399.2959 | E[|v|^2]=595.9420 | time=7.5s
Epoch 25/250 | v_loss=-234.1649 | grad_v=700.7503 | E[|v|^2]=593.3808 | time=7.5s
Epoch 26/250 | v_loss=-276.8691 | grad_v=783.9758 | E[|v|^2]=613.0205 | time=7.5s
Epoch 27/250 | v_loss=-294.7112 | grad_v=1039.1186 | E[|v|^2]=629.9188 | time=7.5s
Epoch 28/250 | v_loss=-326.3018 | grad_v=894.5816 | E[|v|^2]=626.3119 | time=7.5s
Epoch 29/250 | v_loss=-309.0853 | grad_v=1128.3324 | E[|v|^2]=574.6379 | time=7.5s
Epoch 30/250 | v_loss=-228.1687 | grad_v=834.7079 | E[|v|^2]=596.7211 | time=7.5s
Epoch 31/250 | v_loss=-289.4281 | grad_v=291.6444 | E[|v|^2]=588.9318 | time=7.5s
Epoch 32/250 | v_loss=-271.8829 | grad_v=483.4662 | E[|v|^2]=601.0893 | time=7.5s
Epoch 33/250 | v_loss=-305.0439 | grad_v=426.2536 | E[|v|^2]=597.2607 | time=7.5s
Epoch 34/250 | v_loss=-307.8478 | grad_v=261.6863 | E[|v|^2]=593.7868 | time=7.5s
Epoch 35/250 | v_loss=-389.1563 | grad_v=301.8608 | E[|v|^2]=613.9514 | time=7.5s
Epoch 36/250 | v_loss=-270.6505 | grad_v=336.7538 | E[|v|^2]=607.4595 | time=7.5s
Epoch 37/250 | v_loss=-291.4752 | grad_v=459.2548 | E[|v|^2]=592.2792 | time=7.5s
Epoch 38/250 | v_loss=-306.6061 | grad_v=1141.3441 | E[|v|^2]=586.4266 | time=7.5s
Epoch 39/250 | v_loss=-285.4400 | grad_v=330.7498 | E[|v|^2]=608.4899 | time=7.5s
Epoch 40/250 | v_loss=-327.4994 | grad_v=308.5834 | E[|v|^2]=605.5841 | time=7.5s
Epoch 41/250 | v_loss=-340.1881 | grad_v=223.4844 | E[|v|^2]=621.8433 | time=7.6s
Epoch 42/250 | v_loss=-235.6109 | grad_v=602.8096 | E[|v|^2]=610.3118 | time=7.6s
Epoch 43/250 | v_loss=-346.9744 | grad_v=261.7493 | E[|v|^2]=600.2479 | time=7.6s
Epoch 44/250 | v_loss=-381.1051 | grad_v=215.8666 | E[|v|^2]=618.8479 | time=7.6s
Epoch 45/250 | v_loss=-287.4806 | grad_v=682.2825 | E[|v|^2]=604.5046 | time=7.6s
Epoch 46/250 | v_loss=-352.1871 | grad_v=833.3536 | E[|v|^2]=607.3476 | time=7.6s
Epoch 47/250 | v_loss=-268.3861 | grad_v=387.3092 | E[|v|^2]=599.5784 | time=7.5s
Epoch 48/250 | v_loss=-261.4114 | grad_v=196.3452 | E[|v|^2]=610.0727 | time=7.5s
Epoch 49/250 | v_loss=-301.8741 | grad_v=302.8946 | E[|v|^2]=615.0698 | time=7.6s
Epoch 50/250 | v_loss=-297.7691 | grad_v=379.7517 | E[|v|^2]=606.6016 | time=7.6s
Epoch 51/250 | v_loss=-368.7468 | grad_v=390.1942 | E[|v|^2]=634.0519 | time=7.5s
Epoch 52/250 | v_loss=-313.0241 | grad_v=397.5937 | E[|v|^2]=596.3915 | time=7.5s
Epoch 53/250 | v_loss=-341.1417 | grad_v=997.1758 | E[|v|^2]=570.1661 | time=7.5s
Epoch 54/250 | v_loss=-282.2148 | grad_v=1232.2952 | E[|v|^2]=615.9007 | time=7.6s
