[multivariate-tuning] Using device: cuda
[multivariate-tuning] Learning rate: 0.0001
[multivariate-tuning] Coefficient type: trigonometric
[multivariate-tuning] Scheduler: cosine-warm-restarts
[multivariate-tuning] Frequencies A: [2.0, 20.0], B: [2.0, 20.0]
Saved interpolant trajectories to results_coefficient_tuning/trig_ratio_1to10/multivariate_trajectories.png
Epoch 1/250 | v_loss=-25.2601 | grad_v=68.9115 | E[|v|^2]=46.5333 | time=6.9s
Epoch 2/250 | v_loss=-23.7293 | grad_v=30.8189 | E[|v|^2]=44.9336 | time=6.7s
Epoch 3/250 | v_loss=-26.1561 | grad_v=25.1828 | E[|v|^2]=52.5835 | time=6.7s
Epoch 4/250 | v_loss=-22.0229 | grad_v=13.7339 | E[|v|^2]=44.0337 | time=6.7s
Epoch 5/250 | v_loss=-23.2000 | grad_v=14.8321 | E[|v|^2]=47.1864 | time=6.8s
Epoch 6/250 | v_loss=-21.0830 | grad_v=34.7900 | E[|v|^2]=47.6164 | time=6.8s
Epoch 7/250 | v_loss=-23.7909 | grad_v=30.4888 | E[|v|^2]=50.9227 | time=6.7s
Epoch 8/250 | v_loss=-22.4577 | grad_v=16.2752 | E[|v|^2]=49.7766 | time=6.7s
Epoch 9/250 | v_loss=-24.3562 | grad_v=9.9562 | E[|v|^2]=46.6951 | time=6.7s
Epoch 10/250 | v_loss=-25.7168 | grad_v=25.9961 | E[|v|^2]=48.8868 | time=6.7s
Epoch 11/250 | v_loss=-24.7699 | grad_v=18.0790 | E[|v|^2]=48.5710 | time=6.8s
Epoch 12/250 | v_loss=-26.6794 | grad_v=61.4323 | E[|v|^2]=48.5826 | time=6.8s
Epoch 13/250 | v_loss=-23.3856 | grad_v=45.7002 | E[|v|^2]=44.9992 | time=6.8s
Epoch 14/250 | v_loss=-24.1389 | grad_v=18.4154 | E[|v|^2]=48.5779 | time=6.8s
Epoch 15/250 | v_loss=-24.9029 | grad_v=19.3064 | E[|v|^2]=48.9807 | time=6.8s
Epoch 16/250 | v_loss=-26.7871 | grad_v=6.0514 | E[|v|^2]=47.6012 | time=6.8s
Epoch 17/250 | v_loss=-23.2314 | grad_v=7.6236 | E[|v|^2]=47.1515 | time=6.8s
Epoch 18/250 | v_loss=-25.8239 | grad_v=37.8727 | E[|v|^2]=49.4556 | time=6.8s
Epoch 19/250 | v_loss=-22.3641 | grad_v=13.3438 | E[|v|^2]=46.8270 | time=6.8s
Epoch 20/250 | v_loss=-26.9147 | grad_v=5.6256 | E[|v|^2]=46.9683 | time=6.8s
Epoch 21/250 | v_loss=-25.8304 | grad_v=18.3217 | E[|v|^2]=47.8594 | time=6.7s
Epoch 22/250 | v_loss=-21.9218 | grad_v=7.5735 | E[|v|^2]=47.3241 | time=6.7s
Epoch 23/250 | v_loss=-23.5051 | grad_v=14.1944 | E[|v|^2]=47.4055 | time=6.7s
Epoch 24/250 | v_loss=-24.0209 | grad_v=10.4995 | E[|v|^2]=48.2086 | time=6.7s
Epoch 25/250 | v_loss=-26.7023 | grad_v=11.8438 | E[|v|^2]=46.0131 | time=6.7s
Epoch 26/250 | v_loss=-23.9829 | grad_v=13.6906 | E[|v|^2]=48.4733 | time=6.7s
Epoch 27/250 | v_loss=-25.2956 | grad_v=21.6025 | E[|v|^2]=47.3727 | time=6.7s
Epoch 28/250 | v_loss=-24.0703 | grad_v=8.7610 | E[|v|^2]=48.1680 | time=6.7s
Epoch 29/250 | v_loss=-24.0410 | grad_v=8.8561 | E[|v|^2]=46.3920 | time=6.7s
Epoch 30/250 | v_loss=-25.6516 | grad_v=12.3073 | E[|v|^2]=46.8080 | time=6.7s
