[exponent-tuning] Using device: cuda
[exponent-tuning] Learning rate: 0.001
[exponent-tuning] Batch size: 1000
[exponent-tuning] Inner steps: 500
[exponent-tuning] Exponents p: [1.0, 1.0], q: [1.0, 1.0]
[exponent-tuning] Scheduler: cosine-warm-restarts
Starting training: poly_baseline
Exponents: p=[1.0, 1.0], q=[1.0, 1.0]
Using importance sampling with alpha=1.00
======================================================================
Epoch 1/250 | v_loss=-13.3301 | grad_v=8.8052 | E[|v|^2]=25.9866 | time=7.1s
Epoch 2/250 | v_loss=-11.3245 | grad_v=4.5092 | E[|v|^2]=24.7065 | time=6.6s
Epoch 3/250 | v_loss=-11.8157 | grad_v=8.5686 | E[|v|^2]=24.3596 | time=6.6s
Epoch 4/250 | v_loss=-12.2037 | grad_v=8.9770 | E[|v|^2]=23.9422 | time=6.6s
Epoch 5/250 | v_loss=-11.7845 | grad_v=8.0341 | E[|v|^2]=25.9850 | time=6.6s
Epoch 6/250 | v_loss=-11.9677 | grad_v=10.9822 | E[|v|^2]=23.4973 | time=6.6s
Epoch 7/250 | v_loss=-11.9067 | grad_v=9.5383 | E[|v|^2]=22.5455 | time=6.6s
Epoch 8/250 | v_loss=-12.1649 | grad_v=6.9002 | E[|v|^2]=24.2554 | time=6.6s
Epoch 9/250 | v_loss=-11.4032 | grad_v=4.2948 | E[|v|^2]=23.1603 | time=6.6s
Epoch 10/250 | v_loss=-11.5280 | grad_v=4.9088 | E[|v|^2]=23.4146 | time=6.6s
Epoch 11/250 | v_loss=-11.1491 | grad_v=8.4904 | E[|v|^2]=24.1343 | time=6.1s
Epoch 12/250 | v_loss=-11.9620 | grad_v=5.6675 | E[|v|^2]=24.3841 | time=6.1s
Epoch 13/250 | v_loss=-11.4944 | grad_v=6.2395 | E[|v|^2]=22.7195 | time=6.1s
Epoch 14/250 | v_loss=-11.8186 | grad_v=5.2950 | E[|v|^2]=24.2341 | time=6.1s
Epoch 15/250 | v_loss=-13.1008 | grad_v=9.8297 | E[|v|^2]=23.8290 | time=6.1s
Epoch 16/250 | v_loss=-13.0364 | grad_v=9.8983 | E[|v|^2]=23.8100 | time=6.1s
Epoch 17/250 | v_loss=-11.2632 | grad_v=11.0403 | E[|v|^2]=23.0990 | time=6.1s
Epoch 18/250 | v_loss=-12.1275 | grad_v=4.0042 | E[|v|^2]=24.7309 | time=6.1s
Epoch 19/250 | v_loss=-11.7234 | grad_v=6.4680 | E[|v|^2]=24.7085 | time=6.1s
Epoch 20/250 | v_loss=-12.1373 | grad_v=8.8764 | E[|v|^2]=23.4835 | time=6.1s
Epoch 21/250 | v_loss=-11.9580 | grad_v=4.2870 | E[|v|^2]=23.1990 | time=6.1s
Epoch 22/250 | v_loss=-12.2261 | grad_v=5.3616 | E[|v|^2]=23.7505 | time=6.1s
Epoch 23/250 | v_loss=-12.2580 | grad_v=8.1830 | E[|v|^2]=25.0655 | time=6.1s
Epoch 24/250 | v_loss=-11.4976 | grad_v=7.8145 | E[|v|^2]=23.1024 | time=6.1s
Epoch 25/250 | v_loss=-10.7960 | grad_v=9.2662 | E[|v|^2]=23.6936 | time=6.1s
Epoch 26/250 | v_loss=-10.9725 | grad_v=7.3862 | E[|v|^2]=24.3708 | time=6.1s
Epoch 27/250 | v_loss=-12.3775 | grad_v=6.8624 | E[|v|^2]=22.7475 | time=6.1s
Epoch 28/250 | v_loss=-11.3052 | grad_v=3.2927 | E[|v|^2]=23.2866 | time=6.1s
Epoch 29/250 | v_loss=-12.1870 | grad_v=6.8024 | E[|v|^2]=24.0482 | time=6.1s
Epoch 30/250 | v_loss=-12.5727 | grad_v=6.1192 | E[|v|^2]=23.6775 | time=6.1s
Epoch 31/250 | v_loss=-11.7881 | grad_v=9.3839 | E[|v|^2]=25.1457 | time=6.1s
Epoch 32/250 | v_loss=-11.6875 | grad_v=6.0429 | E[|v|^2]=24.2427 | time=6.1s
Epoch 33/250 | v_loss=-11.5116 | grad_v=4.5723 | E[|v|^2]=23.9215 | time=6.1s
Epoch 34/250 | v_loss=-12.4429 | grad_v=4.9419 | E[|v|^2]=23.5645 | time=6.1s
Epoch 35/250 | v_loss=-12.5592 | grad_v=4.7198 | E[|v|^2]=24.9867 | time=6.1s
Epoch 36/250 | v_loss=-11.4129 | grad_v=4.4412 | E[|v|^2]=23.6285 | time=6.1s
Epoch 37/250 | v_loss=-12.7026 | grad_v=6.2185 | E[|v|^2]=23.1161 | time=6.1s
Epoch 38/250 | v_loss=-12.3225 | grad_v=4.9715 | E[|v|^2]=24.5266 | time=6.1s
Epoch 39/250 | v_loss=-12.0570 | grad_v=6.7186 | E[|v|^2]=24.1704 | time=6.1s
Epoch 40/250 | v_loss=-12.1762 | grad_v=4.6257 | E[|v|^2]=23.8266 | time=6.1s
Epoch 41/250 | v_loss=-13.2067 | grad_v=5.9656 | E[|v|^2]=24.0107 | time=6.1s
Epoch 42/250 | v_loss=-11.4475 | grad_v=4.0745 | E[|v|^2]=23.7779 | time=6.2s
Epoch 43/250 | v_loss=-12.4712 | grad_v=7.8569 | E[|v|^2]=24.0740 | time=6.1s
Epoch 44/250 | v_loss=-12.6829 | grad_v=6.7580 | E[|v|^2]=24.3520 | time=6.1s
Epoch 45/250 | v_loss=-11.6891 | grad_v=3.7707 | E[|v|^2]=24.4280 | time=6.1s
Epoch 46/250 | v_loss=-13.2204 | grad_v=4.4855 | E[|v|^2]=24.1001 | time=6.1s
Epoch 47/250 | v_loss=-12.0427 | grad_v=4.7294 | E[|v|^2]=24.0685 | time=6.1s
Epoch 48/250 | v_loss=-12.2217 | grad_v=8.2251 | E[|v|^2]=23.9135 | time=6.1s
Epoch 49/250 | v_loss=-12.5185 | grad_v=2.9120 | E[|v|^2]=24.0361 | time=6.1s
Epoch 50/250 | v_loss=-12.4685 | grad_v=7.0533 | E[|v|^2]=24.0678 | time=6.1s
Epoch 51/250 | v_loss=-13.4602 | grad_v=5.8607 | E[|v|^2]=24.7387 | time=6.1s
Epoch 52/250 | v_loss=-10.4254 | grad_v=8.0606 | E[|v|^2]=23.5967 | time=6.1s
Epoch 53/250 | v_loss=-12.0061 | grad_v=7.4558 | E[|v|^2]=22.0438 | time=6.1s
Epoch 54/250 | v_loss=-12.5211 | grad_v=6.0859 | E[|v|^2]=26.1243 | time=6.1s
Epoch 55/250 | v_loss=-11.8849 | grad_v=5.5012 | E[|v|^2]=24.2963 | time=6.1s
Epoch 56/250 | v_loss=-11.9468 | grad_v=6.7116 | E[|v|^2]=22.6160 | time=6.1s
Epoch 57/250 | v_loss=-12.7541 | grad_v=11.0463 | E[|v|^2]=24.3151 | time=6.1s
Epoch 58/250 | v_loss=-13.2926 | grad_v=11.9387 | E[|v|^2]=26.5447 | time=6.1s
Epoch 59/250 | v_loss=-10.7105 | grad_v=7.8045 | E[|v|^2]=24.0007 | time=6.1s
Epoch 60/250 | v_loss=-11.6613 | grad_v=7.0079 | E[|v|^2]=24.2380 | time=6.1s
Epoch 61/250 | v_loss=-11.7622 | grad_v=7.1722 | E[|v|^2]=23.4063 | time=6.6s
Epoch 62/250 | v_loss=-11.3130 | grad_v=4.5199 | E[|v|^2]=23.2450 | time=6.6s
Epoch 63/250 | v_loss=-11.9212 | grad_v=8.3666 | E[|v|^2]=23.9266 | time=6.6s
Epoch 64/250 | v_loss=-11.2296 | grad_v=12.1949 | E[|v|^2]=24.5084 | time=6.6s
Epoch 65/250 | v_loss=-12.8112 | grad_v=9.8075 | E[|v|^2]=23.1431 | time=6.6s
Epoch 66/250 | v_loss=-13.0500 | grad_v=8.8069 | E[|v|^2]=23.0536 | time=6.6s
Epoch 67/250 | v_loss=-10.6309 | grad_v=5.1699 | E[|v|^2]=22.8690 | time=6.6s
Epoch 68/250 | v_loss=-11.2108 | grad_v=7.7638 | E[|v|^2]=23.1320 | time=6.6s
Epoch 69/250 | v_loss=-11.5393 | grad_v=3.6094 | E[|v|^2]=24.1347 | time=6.7s
Epoch 70/250 | v_loss=-11.8003 | grad_v=4.5442 | E[|v|^2]=22.7771 | time=6.6s
Epoch 71/250 | v_loss=-11.4530 | grad_v=3.1863 | E[|v|^2]=21.6580 | time=6.1s
Epoch 72/250 | v_loss=-12.4298 | grad_v=6.4032 | E[|v|^2]=24.0408 | time=6.1s
Epoch 73/250 | v_loss=-11.6792 | grad_v=7.7135 | E[|v|^2]=23.9916 | time=6.1s
Epoch 74/250 | v_loss=-10.8628 | grad_v=9.6147 | E[|v|^2]=23.8165 | time=6.1s
Epoch 75/250 | v_loss=-12.3228 | grad_v=4.3958 | E[|v|^2]=24.7685 | time=6.1s
Epoch 76/250 | v_loss=-12.4836 | grad_v=5.8662 | E[|v|^2]=23.7093 | time=6.1s
Epoch 77/250 | v_loss=-12.0082 | grad_v=4.6423 | E[|v|^2]=23.7977 | time=6.1s
Epoch 78/250 | v_loss=-11.1826 | grad_v=9.1958 | E[|v|^2]=24.9245 | time=6.1s
Epoch 79/250 | v_loss=-13.4102 | grad_v=7.9280 | E[|v|^2]=24.1023 | time=6.1s
Epoch 80/250 | v_loss=-12.0116 | grad_v=7.4095 | E[|v|^2]=24.0685 | time=6.1s
Epoch 81/250 | v_loss=-11.7490 | grad_v=3.6285 | E[|v|^2]=23.3161 | time=6.6s
Epoch 82/250 | v_loss=-11.7343 | grad_v=4.8778 | E[|v|^2]=23.6647 | time=6.6s
Epoch 83/250 | v_loss=-11.0016 | grad_v=8.0503 | E[|v|^2]=23.3845 | time=6.6s
Epoch 84/250 | v_loss=-12.6903 | grad_v=3.5416 | E[|v|^2]=23.7363 | time=6.6s
Epoch 85/250 | v_loss=-11.8665 | grad_v=8.4231 | E[|v|^2]=23.5638 | time=6.6s
Epoch 86/250 | v_loss=-12.4828 | grad_v=7.1768 | E[|v|^2]=24.4580 | time=6.6s
Epoch 87/250 | v_loss=-12.3554 | grad_v=6.8675 | E[|v|^2]=23.7806 | time=6.6s
Epoch 88/250 | v_loss=-12.1745 | grad_v=6.9942 | E[|v|^2]=24.8232 | time=6.3s
Epoch 89/250 | v_loss=-12.2872 | grad_v=10.1395 | E[|v|^2]=24.7430 | time=6.1s
Epoch 90/250 | v_loss=-11.9067 | grad_v=5.1254 | E[|v|^2]=23.9881 | time=6.1s
Epoch 91/250 | v_loss=-11.1508 | grad_v=6.4809 | E[|v|^2]=23.4940 | time=6.1s
Epoch 92/250 | v_loss=-12.2347 | grad_v=6.1701 | E[|v|^2]=23.1711 | time=6.1s
Epoch 93/250 | v_loss=-10.9362 | grad_v=6.2728 | E[|v|^2]=22.9852 | time=6.1s
Epoch 94/250 | v_loss=-12.1975 | grad_v=7.0172 | E[|v|^2]=23.3621 | time=6.1s
Epoch 95/250 | v_loss=-12.3542 | grad_v=4.5566 | E[|v|^2]=23.5660 | time=6.1s
Epoch 96/250 | v_loss=-12.2279 | grad_v=5.7753 | E[|v|^2]=23.8712 | time=6.1s
Epoch 97/250 | v_loss=-11.5164 | grad_v=8.0030 | E[|v|^2]=23.0801 | time=6.1s
Epoch 98/250 | v_loss=-11.9403 | grad_v=3.8739 | E[|v|^2]=23.6220 | time=6.1s
Epoch 99/250 | v_loss=-11.8634 | grad_v=3.7307 | E[|v|^2]=24.6054 | time=6.1s
Epoch 100/250 | v_loss=-12.4240 | grad_v=5.0904 | E[|v|^2]=23.4962 | time=6.1s
Epoch 101/250 | v_loss=-11.6066 | grad_v=9.4321 | E[|v|^2]=25.3756 | time=6.1s
Epoch 102/250 | v_loss=-12.1086 | grad_v=6.6402 | E[|v|^2]=23.8547 | time=6.1s
Epoch 103/250 | v_loss=-12.0668 | grad_v=6.4781 | E[|v|^2]=24.5025 | time=6.1s
Epoch 104/250 | v_loss=-11.2788 | grad_v=4.6056 | E[|v|^2]=24.6630 | time=6.1s
Epoch 105/250 | v_loss=-11.4815 | grad_v=7.4902 | E[|v|^2]=24.7219 | time=6.1s
Epoch 106/250 | v_loss=-12.0210 | grad_v=4.9792 | E[|v|^2]=24.2668 | time=6.1s
Epoch 107/250 | v_loss=-11.1093 | grad_v=7.8616 | E[|v|^2]=24.2753 | time=6.1s
Epoch 108/250 | v_loss=-12.4712 | grad_v=6.1127 | E[|v|^2]=23.2020 | time=6.1s
Epoch 109/250 | v_loss=-11.8347 | grad_v=5.6668 | E[|v|^2]=23.9932 | time=6.1s
Epoch 110/250 | v_loss=-11.7765 | grad_v=3.3100 | E[|v|^2]=24.5685 | time=6.1s
Epoch 111/250 | v_loss=-12.0837 | grad_v=3.2869 | E[|v|^2]=23.6036 | time=6.1s
Epoch 112/250 | v_loss=-12.0787 | grad_v=5.0496 | E[|v|^2]=23.5548 | time=6.1s
Epoch 113/250 | v_loss=-12.2118 | grad_v=7.2192 | E[|v|^2]=24.3657 | time=6.1s
Epoch 114/250 | v_loss=-12.8630 | grad_v=4.8085 | E[|v|^2]=24.0724 | time=6.1s
Epoch 115/250 | v_loss=-12.4685 | grad_v=5.5259 | E[|v|^2]=23.8559 | time=6.1s
Epoch 116/250 | v_loss=-11.9366 | grad_v=6.3126 | E[|v|^2]=24.0810 | time=6.1s
Epoch 117/250 | v_loss=-11.6638 | grad_v=5.9214 | E[|v|^2]=23.7980 | time=6.1s
Epoch 118/250 | v_loss=-11.8090 | grad_v=6.6369 | E[|v|^2]=24.0185 | time=6.1s
