[exponent-tuning] Using device: cuda
[exponent-tuning] Learning rate: 0.001
[exponent-tuning] Batch size: 1000
[exponent-tuning] Inner steps: 500
[exponent-tuning] Exponents p: [5.0, 1.0], q: [5.0, 1.0]
[exponent-tuning] Scheduler: cosine-warm-restarts
Starting training: poly_p5.0_p1.0
Exponents: p=[5.0, 1.0], q=[5.0, 1.0]
Using importance sampling with alpha=5.00
======================================================================
Epoch 1/250 | v_loss=-30.6365 | grad_v=23.4315 | E[|v|^2]=78.7416 | time=7.9s
Epoch 2/250 | v_loss=-30.3381 | grad_v=267.5889 | E[|v|^2]=82.1251 | time=7.1s
Epoch 3/250 | v_loss=-36.7688 | grad_v=43.0586 | E[|v|^2]=66.5702 | time=7.1s
Epoch 4/250 | v_loss=-35.3838 | grad_v=12.4999 | E[|v|^2]=69.7377 | time=7.1s
Epoch 5/250 | v_loss=-36.8680 | grad_v=75.6645 | E[|v|^2]=78.1507 | time=7.1s
Epoch 6/250 | v_loss=-34.2636 | grad_v=33.6945 | E[|v|^2]=71.1218 | time=7.1s
Epoch 7/250 | v_loss=-28.1815 | grad_v=21.1235 | E[|v|^2]=51.3894 | time=7.1s
Epoch 8/250 | v_loss=-30.8896 | grad_v=114.6422 | E[|v|^2]=75.7640 | time=7.1s
Epoch 9/250 | v_loss=-32.5583 | grad_v=105.1847 | E[|v|^2]=67.8197 | time=7.1s
Epoch 10/250 | v_loss=-27.8163 | grad_v=54.4488 | E[|v|^2]=62.7078 | time=7.1s
Epoch 11/250 | v_loss=-30.2335 | grad_v=48.2838 | E[|v|^2]=67.2709 | time=7.1s
Epoch 12/250 | v_loss=-39.9662 | grad_v=31.9148 | E[|v|^2]=70.8372 | time=7.1s
Epoch 13/250 | v_loss=-29.0470 | grad_v=44.3062 | E[|v|^2]=73.7728 | time=7.1s
Epoch 14/250 | v_loss=-33.3876 | grad_v=20.6896 | E[|v|^2]=64.9951 | time=7.1s
Epoch 15/250 | v_loss=-34.9117 | grad_v=14.2354 | E[|v|^2]=71.8443 | time=7.1s
Epoch 16/250 | v_loss=-32.6561 | grad_v=42.6859 | E[|v|^2]=60.3300 | time=7.1s
Epoch 17/250 | v_loss=-33.6987 | grad_v=35.5622 | E[|v|^2]=55.6022 | time=7.1s
Epoch 18/250 | v_loss=-34.0687 | grad_v=9.9263 | E[|v|^2]=73.0046 | time=7.1s
Epoch 19/250 | v_loss=-31.0207 | grad_v=30.0609 | E[|v|^2]=75.9278 | time=7.1s
Epoch 20/250 | v_loss=-40.0519 | grad_v=24.2415 | E[|v|^2]=69.8307 | time=7.1s
Epoch 21/250 | v_loss=-35.7397 | grad_v=89.2584 | E[|v|^2]=69.4966 | time=7.1s
Epoch 22/250 | v_loss=-31.5771 | grad_v=45.7849 | E[|v|^2]=68.6189 | time=7.1s
Epoch 23/250 | v_loss=-34.1742 | grad_v=30.5308 | E[|v|^2]=69.2812 | time=7.1s
Epoch 24/250 | v_loss=-30.4802 | grad_v=14.5327 | E[|v|^2]=63.7368 | time=7.1s
Epoch 25/250 | v_loss=-29.6278 | grad_v=55.1842 | E[|v|^2]=73.8445 | time=7.1s
Epoch 26/250 | v_loss=-31.2993 | grad_v=9.0687 | E[|v|^2]=71.5305 | time=7.1s
Epoch 27/250 | v_loss=-30.8166 | grad_v=10.7567 | E[|v|^2]=66.4663 | time=7.1s
Epoch 28/250 | v_loss=-30.5689 | grad_v=26.0242 | E[|v|^2]=73.9282 | time=7.1s
Epoch 29/250 | v_loss=-34.8762 | grad_v=52.5763 | E[|v|^2]=71.6446 | time=7.1s
Epoch 30/250 | v_loss=-29.9985 | grad_v=18.2880 | E[|v|^2]=73.4996 | time=7.1s
Epoch 31/250 | v_loss=-33.2239 | grad_v=8.7878 | E[|v|^2]=72.5571 | time=7.2s
Epoch 32/250 | v_loss=-35.0970 | grad_v=9.4723 | E[|v|^2]=65.7219 | time=7.2s
Epoch 33/250 | v_loss=-35.3588 | grad_v=15.0096 | E[|v|^2]=70.9533 | time=7.1s
Epoch 34/250 | v_loss=-39.4776 | grad_v=12.9354 | E[|v|^2]=74.6457 | time=7.1s
Epoch 35/250 | v_loss=-33.7991 | grad_v=34.1388 | E[|v|^2]=72.0216 | time=7.1s
Epoch 36/250 | v_loss=-33.5097 | grad_v=19.5754 | E[|v|^2]=72.7707 | time=7.1s
Epoch 37/250 | v_loss=-35.3291 | grad_v=37.3520 | E[|v|^2]=73.0047 | time=7.1s
Epoch 38/250 | v_loss=-33.5965 | grad_v=20.5725 | E[|v|^2]=72.6839 | time=7.1s
Epoch 39/250 | v_loss=-30.0014 | grad_v=31.1639 | E[|v|^2]=72.5213 | time=7.2s
Epoch 40/250 | v_loss=-32.1827 | grad_v=6.7290 | E[|v|^2]=72.8770 | time=7.1s
Epoch 41/250 | v_loss=-29.9532 | grad_v=21.1104 | E[|v|^2]=68.6943 | time=6.6s
Epoch 42/250 | v_loss=-32.9640 | grad_v=12.7657 | E[|v|^2]=70.3682 | time=6.6s
Epoch 43/250 | v_loss=-32.7696 | grad_v=9.5035 | E[|v|^2]=72.1988 | time=6.6s
Epoch 44/250 | v_loss=-32.6631 | grad_v=9.9171 | E[|v|^2]=70.9635 | time=6.6s
Epoch 45/250 | v_loss=-33.4319 | grad_v=16.9265 | E[|v|^2]=70.8712 | time=6.6s
Epoch 46/250 | v_loss=-32.7622 | grad_v=7.1700 | E[|v|^2]=71.5424 | time=6.6s
Epoch 47/250 | v_loss=-31.9696 | grad_v=6.6307 | E[|v|^2]=71.0321 | time=6.6s
Epoch 48/250 | v_loss=-35.8274 | grad_v=26.9792 | E[|v|^2]=70.7800 | time=6.6s
Epoch 49/250 | v_loss=-35.4292 | grad_v=17.5766 | E[|v|^2]=71.1190 | time=6.6s
Epoch 50/250 | v_loss=-34.3168 | grad_v=8.8272 | E[|v|^2]=71.6335 | time=6.6s
Epoch 51/250 | v_loss=-31.6939 | grad_v=15.6114 | E[|v|^2]=65.2340 | time=6.6s
Epoch 52/250 | v_loss=-33.0214 | grad_v=16.7631 | E[|v|^2]=75.8554 | time=6.6s
Epoch 53/250 | v_loss=-36.4653 | grad_v=22.8646 | E[|v|^2]=82.2332 | time=6.6s
Epoch 54/250 | v_loss=-31.7351 | grad_v=53.5006 | E[|v|^2]=71.6681 | time=6.6s
Epoch 55/250 | v_loss=-34.6844 | grad_v=18.0624 | E[|v|^2]=70.0767 | time=6.6s
Epoch 56/250 | v_loss=-28.8354 | grad_v=43.8910 | E[|v|^2]=71.1246 | time=6.6s
Epoch 57/250 | v_loss=-35.8738 | grad_v=33.8633 | E[|v|^2]=70.1082 | time=6.6s
Epoch 58/250 | v_loss=-30.9958 | grad_v=62.5692 | E[|v|^2]=74.8658 | time=6.6s
Epoch 59/250 | v_loss=-32.2379 | grad_v=33.6949 | E[|v|^2]=75.9579 | time=6.6s
Epoch 60/250 | v_loss=-38.0642 | grad_v=12.1790 | E[|v|^2]=76.4995 | time=6.5s
Epoch 61/250 | v_loss=-29.3396 | grad_v=30.2010 | E[|v|^2]=65.6840 | time=6.6s
Epoch 62/250 | v_loss=-34.7083 | grad_v=7.4894 | E[|v|^2]=75.6779 | time=6.6s
Epoch 63/250 | v_loss=-29.7475 | grad_v=63.6272 | E[|v|^2]=66.2573 | time=6.6s
Epoch 64/250 | v_loss=-31.4656 | grad_v=22.6357 | E[|v|^2]=71.4554 | time=6.6s
Epoch 65/250 | v_loss=-34.2698 | grad_v=30.3970 | E[|v|^2]=76.5363 | time=6.6s
Epoch 66/250 | v_loss=-34.0282 | grad_v=48.2229 | E[|v|^2]=64.7538 | time=6.6s
Epoch 67/250 | v_loss=-29.6932 | grad_v=27.1003 | E[|v|^2]=74.3684 | time=6.6s
Epoch 68/250 | v_loss=-27.7105 | grad_v=20.7290 | E[|v|^2]=68.3706 | time=6.6s
Epoch 69/250 | v_loss=-36.0750 | grad_v=18.0959 | E[|v|^2]=67.8006 | time=6.6s
Epoch 70/250 | v_loss=-32.7366 | grad_v=44.9623 | E[|v|^2]=65.0548 | time=6.6s
Epoch 71/250 | v_loss=-30.7140 | grad_v=15.2281 | E[|v|^2]=75.8238 | time=6.6s
