[multivariate-tuning] Using device: cuda
[multivariate-tuning] Learning rate: 0.0001
[multivariate-tuning] Exponents p: [1.0, 0.2], q: [1.0, 0.2]
Saved interpolant trajectories to results_multivariate_sweep/lr1e-4_p1.0_0.2_q1.0_0.2/multivariate_trajectories.png
Epoch 1/500 | v_loss=-10.6064 | grad_v=295.3122 | E[|v|^2]=27.6425 | time=4.0s
Epoch 2/500 | v_loss=-114.2363 | grad_v=5785.2444 | E[|v|^2]=52.9528 | time=3.8s
Epoch 3/500 | v_loss=-22.9976 | grad_v=333.5199 | E[|v|^2]=39.7961 | time=3.8s
Epoch 4/500 | v_loss=-23.6382 | grad_v=211.3775 | E[|v|^2]=30.8666 | time=3.9s
Epoch 5/500 | v_loss=-21.1999 | grad_v=385.4924 | E[|v|^2]=31.4085 | time=3.8s
Epoch 6/500 | v_loss=-14.0366 | grad_v=158.7323 | E[|v|^2]=27.8236 | time=3.8s
Epoch 7/500 | v_loss=-33.7873 | grad_v=992.4925 | E[|v|^2]=37.9416 | time=3.8s
Epoch 8/500 | v_loss=-37.2589 | grad_v=290.7831 | E[|v|^2]=34.3109 | time=3.8s
Epoch 9/500 | v_loss=-7.7079 | grad_v=471.5894 | E[|v|^2]=58.2878 | time=3.8s
Epoch 10/500 | v_loss=-17.5972 | grad_v=349.1524 | E[|v|^2]=33.3829 | time=3.8s
Epoch 11/500 | v_loss=-16.5505 | grad_v=551.6513 | E[|v|^2]=43.5353 | time=3.8s
Epoch 12/500 | v_loss=-16.2222 | grad_v=347.5768 | E[|v|^2]=25.1496 | time=3.8s
Epoch 13/500 | v_loss=-16.6532 | grad_v=347.1259 | E[|v|^2]=37.1087 | time=3.8s
Epoch 14/500 | v_loss=-17.9192 | grad_v=242.0784 | E[|v|^2]=26.5707 | time=3.8s
Epoch 15/500 | v_loss=-11.4351 | grad_v=633.6461 | E[|v|^2]=31.6537 | time=3.8s
Epoch 16/500 | v_loss=-34.1879 | grad_v=508.7288 | E[|v|^2]=41.1612 | time=3.8s
Epoch 17/500 | v_loss=-7.4743 | grad_v=887.8060 | E[|v|^2]=66.3499 | time=3.8s
Epoch 18/500 | v_loss=-43.4448 | grad_v=1635.0749 | E[|v|^2]=55.6582 | time=3.8s
Epoch 19/500 | v_loss=-13.0594 | grad_v=141.3189 | E[|v|^2]=37.5428 | time=3.8s
