[multivariate-tuning] Using device: cuda
[multivariate-tuning] Learning rate: 1e-05
[multivariate-tuning] Exponents p: [0.5, 1.0], q: [0.5, 1.0]
Saved interpolant trajectories to results_multivariate_sweep/lr1e-5_p0.5_1.0_q0.5_1.0/multivariate_trajectories.png
Epoch 1/500 | v_loss=-12.9218 | grad_v=45.7930 | E[|v|^2]=15.3919 | time=4.0s
Epoch 2/500 | v_loss=-6.5629 | grad_v=14.6456 | E[|v|^2]=15.5008 | time=3.9s
Epoch 3/500 | v_loss=-6.6916 | grad_v=13.4563 | E[|v|^2]=16.0041 | time=3.8s
Epoch 4/500 | v_loss=-8.4069 | grad_v=4.0528 | E[|v|^2]=15.8404 | time=3.8s
Epoch 5/500 | v_loss=-8.4114 | grad_v=9.6996 | E[|v|^2]=16.3428 | time=3.8s
Epoch 6/500 | v_loss=-9.9604 | grad_v=7.0841 | E[|v|^2]=16.8627 | time=3.8s
Epoch 7/500 | v_loss=-9.5217 | grad_v=9.7518 | E[|v|^2]=16.1562 | time=3.8s
Epoch 8/500 | v_loss=-7.1091 | grad_v=13.7662 | E[|v|^2]=16.7141 | time=3.8s
Epoch 9/500 | v_loss=-8.4901 | grad_v=16.8018 | E[|v|^2]=16.5100 | time=3.8s
Epoch 10/500 | v_loss=-9.4461 | grad_v=9.7962 | E[|v|^2]=16.9616 | time=3.8s
Epoch 11/500 | v_loss=-9.4433 | grad_v=10.1181 | E[|v|^2]=16.6685 | time=3.9s
Epoch 12/500 | v_loss=-8.3148 | grad_v=11.8155 | E[|v|^2]=16.5148 | time=3.8s
Epoch 13/500 | v_loss=-7.3600 | grad_v=12.7333 | E[|v|^2]=17.1492 | time=3.8s
Epoch 14/500 | v_loss=-7.7619 | grad_v=5.2576 | E[|v|^2]=16.4772 | time=3.8s
Epoch 15/500 | v_loss=-9.0686 | grad_v=7.2016 | E[|v|^2]=16.6961 | time=3.8s
Epoch 16/500 | v_loss=-8.5211 | grad_v=8.3692 | E[|v|^2]=16.1614 | time=3.8s
Epoch 17/500 | v_loss=-9.8180 | grad_v=10.6843 | E[|v|^2]=17.5689 | time=3.8s
Epoch 18/500 | v_loss=-7.6476 | grad_v=9.6449 | E[|v|^2]=16.8763 | time=3.8s
Epoch 19/500 | v_loss=-8.6423 | grad_v=8.2598 | E[|v|^2]=17.0754 | time=3.8s
Epoch 20/500 | v_loss=-9.0310 | grad_v=6.6330 | E[|v|^2]=16.9209 | time=3.8s
Epoch 21/500 | v_loss=-6.3327 | grad_v=15.8385 | E[|v|^2]=17.2682 | time=3.8s
Epoch 22/500 | v_loss=-9.7463 | grad_v=15.0603 | E[|v|^2]=16.7313 | time=3.8s
Epoch 23/500 | v_loss=-9.8496 | grad_v=14.8489 | E[|v|^2]=16.9055 | time=3.8s
Epoch 24/500 | v_loss=-9.3854 | grad_v=31.4681 | E[|v|^2]=16.8900 | time=3.8s
Epoch 25/500 | v_loss=-5.4449 | grad_v=12.1266 | E[|v|^2]=16.4990 | time=3.8s
Epoch 26/500 | v_loss=-7.6759 | grad_v=7.1375 | E[|v|^2]=16.1904 | time=3.8s
Epoch 27/500 | v_loss=-10.2093 | grad_v=11.1433 | E[|v|^2]=17.1353 | time=3.8s
Epoch 28/500 | v_loss=-7.8063 | grad_v=10.0051 | E[|v|^2]=17.3283 | time=3.8s
Epoch 29/500 | v_loss=-8.6820 | grad_v=9.1607 | E[|v|^2]=16.5858 | time=3.8s
Epoch 30/500 | v_loss=-7.8940 | grad_v=20.4255 | E[|v|^2]=17.0604 | time=3.8s
Epoch 31/500 | v_loss=-8.9752 | grad_v=12.4937 | E[|v|^2]=16.6024 | time=3.8s
Epoch 32/500 | v_loss=-8.9547 | grad_v=9.8702 | E[|v|^2]=16.3652 | time=3.8s
Epoch 33/500 | v_loss=-9.5845 | grad_v=12.0015 | E[|v|^2]=16.9226 | time=3.8s
Epoch 34/500 | v_loss=-10.0149 | grad_v=12.2624 | E[|v|^2]=16.4885 | time=3.8s
Epoch 35/500 | v_loss=-7.3993 | grad_v=14.4018 | E[|v|^2]=16.5704 | time=3.8s
Epoch 36/500 | v_loss=-8.5368 | grad_v=8.6208 | E[|v|^2]=17.2944 | time=3.8s
Epoch 37/500 | v_loss=-6.8522 | grad_v=27.2281 | E[|v|^2]=16.9446 | time=3.8s
Epoch 38/500 | v_loss=-8.4864 | grad_v=12.0342 | E[|v|^2]=17.4082 | time=3.8s
Epoch 39/500 | v_loss=-10.6948 | grad_v=14.3688 | E[|v|^2]=16.5806 | time=3.8s
Epoch 40/500 | v_loss=-10.1504 | grad_v=17.0885 | E[|v|^2]=16.3685 | time=3.8s
Epoch 41/500 | v_loss=-7.3724 | grad_v=10.4202 | E[|v|^2]=16.8792 | time=3.8s
Epoch 42/500 | v_loss=-7.0860 | grad_v=10.0277 | E[|v|^2]=17.0169 | time=3.8s
Epoch 43/500 | v_loss=-10.0273 | grad_v=12.2642 | E[|v|^2]=17.1400 | time=3.8s
Epoch 44/500 | v_loss=-8.0613 | grad_v=11.1506 | E[|v|^2]=17.4308 | time=3.8s
Epoch 45/500 | v_loss=-9.1977 | grad_v=6.4279 | E[|v|^2]=16.9695 | time=3.8s
Epoch 46/500 | v_loss=-6.5880 | grad_v=12.0394 | E[|v|^2]=17.0700 | time=3.8s
Epoch 47/500 | v_loss=-8.6140 | grad_v=8.4982 | E[|v|^2]=16.5940 | time=3.8s
Epoch 48/500 | v_loss=-9.2490 | grad_v=8.5236 | E[|v|^2]=17.1496 | time=3.8s
Epoch 49/500 | v_loss=-8.7255 | grad_v=7.3062 | E[|v|^2]=17.0588 | time=3.8s
Epoch 50/500 | v_loss=-7.5756 | grad_v=9.5843 | E[|v|^2]=16.9281 | time=3.8s
Epoch 51/500 | v_loss=-9.7823 | grad_v=22.2472 | E[|v|^2]=17.0896 | time=3.8s
Epoch 52/500 | v_loss=-7.8709 | grad_v=10.8166 | E[|v|^2]=16.5775 | time=3.8s
Epoch 53/500 | v_loss=-7.8338 | grad_v=9.2279 | E[|v|^2]=16.7914 | time=3.8s
Epoch 54/500 | v_loss=-10.9754 | grad_v=15.6950 | E[|v|^2]=17.0021 | time=3.8s
Epoch 55/500 | v_loss=-9.0322 | grad_v=7.3904 | E[|v|^2]=16.8667 | time=3.8s
Epoch 56/500 | v_loss=-8.0725 | grad_v=11.8726 | E[|v|^2]=17.2643 | time=3.8s
Epoch 57/500 | v_loss=-7.6483 | grad_v=8.5510 | E[|v|^2]=16.5106 | time=3.8s
Epoch 58/500 | v_loss=-10.4101 | grad_v=13.6291 | E[|v|^2]=16.3651 | time=3.8s
Epoch 59/500 | v_loss=-9.2150 | grad_v=13.2964 | E[|v|^2]=17.1920 | time=3.8s
Epoch 60/500 | v_loss=-8.8265 | grad_v=12.4048 | E[|v|^2]=17.1556 | time=3.8s
Epoch 61/500 | v_loss=-7.4923 | grad_v=14.3914 | E[|v|^2]=17.6075 | time=3.8s
Epoch 62/500 | v_loss=-12.5258 | grad_v=35.0581 | E[|v|^2]=17.1612 | time=3.8s
Epoch 63/500 | v_loss=-6.6866 | grad_v=12.2351 | E[|v|^2]=16.7130 | time=3.8s
Epoch 64/500 | v_loss=-9.0579 | grad_v=11.5938 | E[|v|^2]=17.0679 | time=3.8s
Epoch 65/500 | v_loss=-8.5578 | grad_v=8.1820 | E[|v|^2]=16.7009 | time=3.8s
Epoch 66/500 | v_loss=-8.3153 | grad_v=9.3556 | E[|v|^2]=16.9043 | time=3.8s
Epoch 67/500 | v_loss=-9.8318 | grad_v=14.2126 | E[|v|^2]=16.7470 | time=3.8s
Epoch 68/500 | v_loss=-8.8403 | grad_v=15.2376 | E[|v|^2]=17.2051 | time=3.8s
Epoch 69/500 | v_loss=-8.9554 | grad_v=12.7495 | E[|v|^2]=16.7442 | time=3.8s
Epoch 70/500 | v_loss=-8.5644 | grad_v=9.8257 | E[|v|^2]=16.5853 | time=3.8s
Epoch 71/500 | v_loss=-8.5681 | grad_v=6.8266 | E[|v|^2]=17.1717 | time=3.8s
Epoch 72/500 | v_loss=-7.5291 | grad_v=9.2445 | E[|v|^2]=16.2452 | time=3.8s
Epoch 73/500 | v_loss=-9.6737 | grad_v=9.7650 | E[|v|^2]=17.0900 | time=3.8s
Epoch 74/500 | v_loss=-8.3791 | grad_v=7.0546 | E[|v|^2]=16.4271 | time=3.8s
Epoch 75/500 | v_loss=-8.5298 | grad_v=12.6438 | E[|v|^2]=16.8025 | time=3.8s
